timestamp,open,high,low,close,volume
2020-07-22,2.7500,2.8300,2.6200,2.8100,10003726
2020-07-21,2.8000,2.8400,2.7100,2.7500,9667605
2020-07-20,2.9000,2.9200,2.7300,2.8200,10427213
2020-07-17,3.0500,3.1100,2.8200,2.9100,14017206
2020-07-16,2.9600,3.1900,2.9200,3.0700,15185682
2020-07-15,2.9500,3.0300,2.8600,3.0000,13556454
2020-07-14,2.8100,2.9500,2.7800,2.8800,10112625
2020-07-13,3.1600,3.1700,2.7600,2.8100,26489519
2020-07-10,3.0300,3.3600,2.9300,3.0700,37808372
2020-07-09,3.0200,3.0800,2.7800,3.0400,20748539
2020-07-08,2.8200,2.9600,2.6900,2.9600,19360788
2020-07-07,2.7400,2.8700,2.6000,2.8300,17615330
2020-07-06,2.7000,3.0700,2.6900,2.8700,36628416
